kd_prov;provinsi;kd_kota;Kota
00;Pusat;0000;Pusat
52;Amerika Selatan;5200;Amerika Selatan
57;Asia Pasifik;5700;Asia Pasifik
55;Afrika;5500;Afrika
00;Pusat;0000;Pusat
00;Pusat;0000;Pusat
03;Provinsi Jawa Tengah;0308;Kab. Brebes
18;Provinsi Sulawesi Tengah;1800;Provinsi Sulawesi Tengah
34;Provinsi Sulawesi Barat;3406;Kab. Mamuju Tengah
08;Provinsi Sumatera Barat;0852;Kota Padang Panjang
06;Provinsi Aceh;0607;Kab. Aceh Tengah
06;Provinsi Aceh;0608;Kab. Aceh Tenggara
06;Provinsi Aceh;0603;Kab. Aceh Utara
06;Provinsi Aceh;0611;Kab. Bireun
06;Provinsi Aceh;0602;Kab. Pidie
07;Provinsi Sumatera Utara;0761;Kota Gunung Sitoli
07;Provinsi Sumatera Utara;0706;Kab. Labuhanbatu
07;Provinsi Sumatera Utara;0724;Kab. Labuhan Batu Selatan
07;Provinsi Sumatera Utara;0725;Kab. Labuhan Batu Utara
07;Provinsi Sumatera Utara;0711;Kab. Nias
07;Provinsi Sumatera Utara;0727;Kab. Nias Barat
07;Provinsi Sumatera Utara;0722;Kab. Padang Lawas
08;Provinsi Sumatera Barat;0805;Kab. Padang Pariaman
08;Provinsi Sumatera Barat;0812;Kab. Pasaman Barat
09;Provinsi Riau;0904;Kab. Indragiri Hulu
09;Provinsi Riau;0901;Kab. Kampar
26;Provinsi Bengkulu;2609;Kab. Bengkulu Tengah
26;Provinsi Bengkulu;2603;Kab. Rejang Lebong
26;Provinsi Bengkulu;2604;Kab. Seluma
11;Provinsi Sumatera Selatan;1107;Kab. Musi Rawas
12;Provinsi Lampung;1207;Kab. Lampung Timur
12;Provinsi Lampung;1203;Kab. Lampung Utara
12;Provinsi Lampung;1211;Kab. Mesuji
12;Provinsi Lampung;1210;Kab. Pringsewu
12;Provinsi Lampung;1206;Kab. Tanggamus
12;Provinsi Lampung;1205;Kab. Tulang Bawang
12;Provinsi Lampung;1208;Kab. Way Kanan
02;Provinsi Jawa Barat;0209;Kab. Karawang
02;Provinsi Jawa Barat;0219;Kab. Indramayu
02;Provinsi Jawa Barat;0260;Kota Tasikmalaya
02;Provinsi Jawa Barat;0218;Kab. Kuningan
02;Provinsi Jawa Barat;0220;Kab. Majalengka
02;Provinsi Jawa Barat;0210;Kab. Purwakarta
23;Provinsi Nusa Tenggara Barat;2308;Kab. Lombok Utara
24;Provinsi Nusa Tenggara Timur;2451;kota. kupang
24;Provinsi Nusa Tenggara Timur;2422;Kab. Malaka
24;Provinsi Nusa Tenggara Timur;2411;Kab. Sumba Timur
14;Provinsi Kalimantan Tengah;1401;Kab. Kapuas
16;Provinsi Kalimantan Timur;1609;Kab. Penajam Paser Utara
16;Provinsi Kalimantan Timur;1607;Kab. Kutai Barat
35;Provinsi Kalimantan Utara;3502;Kab. Nunukan
31;Provinsi Gorontalo;3104;Kab. Bone Bolango
18;Provinsi Sulawesi Tengah;1807;Kab. Banggai Kepulauan
