used_id,krisna_id,name
1101,609,Simeulue
1102,610,Aceh Singkil
1103,605,Aceh Selatan
1104,608,Aceh Tenggara
1105,604,Aceh Timur
1106,607,Aceh Tengah
1107,606,Aceh Barat
1107,655,Aceh Barat
1108,601,Aceh Besar
1109,602,Pidie
1110,611,Bireuen
1111,603,Aceh Utara
1112,612,Aceh Barat Daya
1113,613,Gayo Lues
1114,616,Aceh Tamiang
1115,615,Nagan Raya
1116,614,Aceh Jaya
1117,617,Bener Meriah
1118,618,Pidie Jaya
1171,651,Banda Aceh
1172,652,Sabang
1173,653,Langsa
1174,654,Lhokseumawe
1175,656,Subulussalam
1201,711,Nias
1202,713,Mandailing Natal
1203,709,Tapanuli Selatan
1204,704,Tapanuli Tengah
1205,708,Tapanuli Utara
1206,717,Toba Samosir
1207,706,Labuhan Batu
1208,710,Asahan
1209,705,Simalungun
1210,707,Dairi
1210,760,Dairi
1211,702,Karo
1212,701,Deli Serdang
1212,759,Deli Serdang
1213,703,Langkat
1214,714,Nias Selatan
1215,716,Humbang Hasundutan
1216,715,Pakpak Bharat
1217,712,Samosir
1218,720,Serdang Bedagai
1219,721,Batu Bara
1220,723,Padang Lawas Utara
1221,722,Padang Lawas
1222,724,Labuhan Batu Selatan
1223,725,Labuhan Batu Utara
1224,726,Nias Utara
1225,727,Nias Barat
1271,756,Sibolga
1272,755,Kota Tanjung Balai
1273,754,Pematangsiantar
1274,752,Tebingtinggi
1275,751,Kota Medan
1276,753,Kota Binjai
1277,757,Kota Padangsidimpuan
1278,761,Kota Gunungsitoli
1301,809,Kepulauan Mentawai
1302,806,Pesisir Selatan
1304,813,Sijunjung
1305,807,Tanah Datar
1306,805,Padang Pariaman
1307,801,Agam
1308,803,Lima Puluh Kota
1309,802,Pasaman
1310,811,Solok Selatan
1311,810,Dharmasraya
1312,812,Pasaman Barat
1371,855,Padang
1372,853,Solok
1373,854,Sawahlunto
1374,852,Padang Panjang
1375,851,Bukittinggi
1376,856,Kota Payakumbuh
1377,857,Pariaman
1401,912,Kuantan Singingi
1402,904,Indragiri Hulu
1403,905,Indragiri Hilir
1404,906,Pelalawan
1405,909,Siak
1406,901,Kampar
1407,907,Rokan Hulu
1408,902,Bengkalis
1409,908,Rokan Hilir
1410,913,Kepulauan Meranti
1471,951,Kota Pekanbaru
1473,953,Dumai
1501,1005,Kerinci
1502,1006,Merangin
1503,1004,Sarolangun
1504,1001,Batang Hari
1505,1009,Muaro Jambi
1506,1007,Tanjung Jabung Timur
1507,1002,Tanjung Jabung Barat
1508,1008,Tebo
1509,1003,Bungo
1571,1051,Kota Jambi
1572,1052,Sungai Penuh
1601,1104,Ogan Komering Ulu
1602,1108,Ogan Komering Ilir
1603,1105,Muara Enim
1603,1118,Muara Enim
1604,1106,Lahat
1605,1107,Musi Rawas
1605,1119,Musi Rawas
1606,1103,Musi Banyuasin
1607,1109,Banyu Asin
1608,1111,Ogan Komering Ulu Selatan
1609,1110,Ogan Komering Ulu Timur
1610,1112,Ogan Ilir
1611,1117,Empat Lawang
1671,1151,Palembang
1672,1153,Prabumulih
1673,1154,Pagar Alam
1674,1155,Lubuklinggau
1701,2602,Bengkulu Selatan
1702,2603,Rejang Lebong
1703,2601,Bengkulu Utara
1704,2605,Kaur
1705,2604,Seluma
1706,2606,Mukomuko
1707,2607,Lebong
1708,2608,Kepahiang
1709,2609,Bengkulu Tengah
1771,2651,Bengkulu
1801,1213,Lampung Barat
1801,1204,Lampung Barat
1802,1206,Tanggamus
1803,1201,Lampung Selatan
1804,1207,Lampung Timur
1805,1202,Lampung Tengah
1806,1203,Lampung Utara
1807,1208,Way Kanan
1808,1205,Tulangbawang
1809,1209,Pesawaran
1810,1210,Pringsewu
1811,1211,Mesuji
1812,1212,Tulang Bawang Barat
1871,1251,Bandar Lampung
1872,1252,Metro
1901,3002,Bangka
1902,3001,Belitung
1903,3003,Bangka Barat
1904,3004,Bangka Tengah
1905,3005,Bangka Selatan
1906,3006,Belitung Timur
1971,3051,Pangkalpinang
2101,3202,Karimun
2102,3201,Bintan
2103,3203,Natuna
2104,3204,Lingga
2105,3205,Kepulauan Anambas
2171,3251,Kota Batam
2172,3252,Tanjungpinang
3101,156,Kepulauan Seribu
3171,154,Jakarta Selatan
3172,155,Jakarta Timur
3173,151,Jakarta Pusat
3174,153,Jakarta Barat
3175,152,Jakarta Utara
3203,207,Cianjur
3205,214,Garut
3207,216,Ciamis
3207,222,Ciamis
3208,218,Kuningan
3210,220,Majalengka
3211,213,Sumedang
3212,219,Indramayu
3213,211,Subang
3214,210,Purwakarta
3215,209,Karawang
3217,221,Bandung Barat
3271,205,Bogor
3272,206,Sukabumi
3273,212,Bandung
3274,217,Cirebon
3275,257,Bekasi
3276,258,Depok
3277,261,Cimahi
3278,260,Tasikmalaya
3301,316,Cilacap
3302,315,Banyumas
3303,317,Purbalingga
3304,318,Banjarnegara
3305,323,Kebumen
3306,322,Purworejo
3307,321,Wonosobo
3309,325,Boyolali
3310,324,Klaten
3311,327,Sukoharjo
3312,329,Wonogiri
3313,328,Karanganyar
3314,326,Sragen
3315,304,Grobogan
3316,314,Blora
3317,313,Rembang
3318,309,Pati
3319,310,Kudus
3320,312,Jepara
3321,303,Demak
3323,320,Temanggung
3324,302,Kendal
3325,306,Batang
3327,311,Pemalang
3329,308,Brebes
3371,319,Magelang
