KODE;NOMENKLATUR;GROUP
001;Irigasi (pembangunan 1 juta ha dan rehabilitasi 3 juta ha);PANGAN
002;Bendungan Baru (33 bendungan);PANGAN
003;Desa Mandiri Benih (1000 desa);PANGAN
004;Desa Organik (1000 desa);PANGAN
005;Sawah Baru (1 juta ha);PANGAN
006;Lahan Pertanian Kering Baru (1 juta ha);PANGAN
007;Tata Niaga Impor Pangan (5 kebijakan);PANGAN
008;Kilang minyak (2 unit masing-masing 300.000 barel);ENERGI
009;Pembangkit listrik (35.000 MW);ENERGI
010;Jaringan Gas Kota (374.000 SR);ENERGI
011;Produksi Biofuel (7 juta kl);ENERGI
012;Pembangunan Listrik Pedesaan (Jaringan Distribusi 8.477 kms dan Gardu Distribusi 178,6 MVA);ENERGI
013;Pipa Transmisi Gas (6.332 km);ENERGI
014;Unit Penyimpanan Gas (7 lokasi);ENERGI
015;SPBG baru (118 lokasi);ENERGI
016;Rasio Rrealisasi terhadap Rencana Pengeboran Komitmen Pasti (meningkat 22% dari rencana strategis);ENERGI
017;Jalan baru (2.650 km);INFRASTRUKTUR
018;Bandara baru (15 lokasi);INFRASTRUKTUR
019;Jalur kereta api (3.258 km'sp);INFRASTRUKTUR
020;Jalan tol baru (1.000 km);INFRASTRUKTUR
021;Pengadaan bus rapid transit/BRT (3000 unit bis);INFRASTRUKTUR
022;Memenuhi kekuatan pertahanan minimum (wilayah Natuna);MARITIM
023;Peningkatan Hari Operasi 27 kapal (280 hari per kapal);MARITIM
024;Pelelangan ikan terpadu (100 lokasi);MARITIM
025;Rehabilitasi pesisir pantura jawa;MARITIM
026;Pembangunan kapal perintis dan penumpang (93 unit);MARITIM
027;Sertifikasi cara budidaya ikan yang baik/CBIB (14.000 unit);MARITIM
028;Rute perintis (76 voyage);MARITIM
029;Kapal perikanan > 30 Gt (125 unit);MARITIM
030;Pengembangan kebun bibit rumput laut (133 sentra);MARITIM
031;Jumlah perundingan perbatasan (12 perundingan);MARITIM
032;Sinkronisasi data kawasan konservasi perairan (700 ha);MARITIM
033;Pembangunan lapangan kontainer (10 lokasi pelabuhan);MARITIM
034;Pengerukan Pelabuhan Belawan Medan;MARITIM
035;Kartu Indonesia Sehat (86,4 juta kartu);KESEHATAN
036;Penetapan iuran baru jaminan kesehatan nasional (JKN);KESEHATAN
037;Pelayanan puskesmas sesuai standar (6.000 puskesmas);KESEHATAN
038;Nusantara sehat (480 tenaga kesehatan);KESEHATAN
039;Pelayanan kesehatan bergerak (150 kab/kota);KESEHATAN
040;Rumah sehat (50.000 unit);KESEHATAN
041;Saluran Pembuangan Air Limbah (SPAL)/Instalasi Pengelolaan Air Limbah (IPAL) terpusat dan tempat pembuangan akhir (TPA) regional (4 SPAL/IPAL dan 2 TPA);KESEHATAN
042;Sistem penyediaan air minum/SPAM (regional 4 lokasi dan IKK 11 lokasi);KESEHATAN
043;Persalinan di fasilitas kesehatan - Pf (2.980.102 ibu bersalin (58% dari target 75%));KESEHATAN
044;Imunisasi dasar bayi < 1 tahun (91%);KESEHATAN
045;Pengobatan kasus HIV (52,5%);KESEHATAN
046;Eliminasi malaria (225 kab/kota);KESEHATAN
047;Sarana prasarana olah raga (68 fasilitasi);KESEHATAN
048;Data dan sistem informasi pendidikan di Kementerian Agama;PENDIDIKAN
049;Sistem informasi pendidikan berbasis spasial Kementerian Pendidikan dan Kebudayaan;PENDIDIKAN
050;Rehabilitasi sekolah (6.623 ruang SD, 3.079 ruang SMP, 131 paket SMA, 130 paket SMK);PENDIDIKAN
051;Pembangunan unit sekolah baru/USB (15 unit SD, 197 unit SMP, 60 unit SMA, 35 unit SMK);PENDIDIKAN
052;Pembangunan ruang kelas baru (2.615 ruang SD, 2151 ruang SMP, 1.858 ruang SMA, 3.100 ruang SMK);PENDIDIKAN
053;Kartu Indonesia Pintar/KIP (18.485.270 kartu);PENDIDIKAN
