id;kementerian;program;kegiatan;output;provinsi;nawacita;janpres;tematik;pn;alokasi
1;020-Kementerian ESDM;020.12.05-Program Pengembangan Sumber Daya Manusia ESDM;1916-Pendidikan Tinggi Energi dan Mineral;034-Lulusan Mahasiswa STEM Akamigas;03-Provinsi Jawa Tengah;;;005 - Anggaran Pendidikan;51-Pendidikan;49424
2;020-Kementerian ESDM;020.12.05-Program Pengembangan Sumber Daya Manusia ESDM;1916-Pendidikan Tinggi Energi dan Mineral;034-Lulusan Mahasiswa STEM Akamigas;03-Provinsi Jawa Tengah;;;005 - Anggaran Pendidikan;51-Pendidikan;274941
3;020-Kementerian ESDM;020.12.05-Program Pengembangan Sumber Daya Manusia ESDM;1916-Pendidikan Tinggi Energi dan Mineral;034-Lulusan Mahasiswa STEM Akamigas;03-Provinsi Jawa Tengah;;;005 - Anggaran Pendidikan;51-Pendidikan;424818
4;020-Kementerian ESDM;020.12.05-Program Pengembangan Sumber Daya Manusia ESDM;1916-Pendidikan Tinggi Energi dan Mineral;034-Lulusan Mahasiswa STEM Akamigas;03-Provinsi Jawa Tengah;;;005 - Anggaran Pendidikan;51-Pendidikan;487646
5;020-Kementerian ESDM;020.12.05-Program Pengembangan Sumber Daya Manusia ESDM;1916-Pendidikan Tinggi Energi dan Mineral;034-Lulusan Mahasiswa STEM Akamigas;03-Provinsi Jawa Tengah;;;005 - Anggaran Pendidikan;51-Pendidikan;501462
6;020-Kementerian ESDM;020.12.05-Program Pengembangan Sumber Daya Manusia ESDM;1916-Pendidikan Tinggi Energi dan Mineral;034-Lulusan Mahasiswa STEM Akamigas;03-Provinsi Jawa Tengah;;;005 - Anggaran Pendidikan;51-Pendidikan;681025
7;020-Kementerian ESDM;020.12.05-Program Pengembangan Sumber Daya Manusia ESDM;1916-Pendidikan Tinggi Energi dan Mineral;034-Lulusan Mahasiswa STEM Akamigas;03-Provinsi Jawa Tengah;;;005 - Anggaran Pendidikan;51-Pendidikan;740224
8;020-Kementerian ESDM;020.12.05-Program Pengembangan Sumber Daya Manusia ESDM;1916-Pendidikan Tinggi Energi dan Mineral;034-Lulusan Mahasiswa STEM Akamigas;03-Provinsi Jawa Tengah;;;005 - Anggaran Pendidikan;51-Pendidikan;1305789
9;020-Kementerian ESDM;020.12.05-Program Pengembangan Sumber Daya Manusia ESDM;1916-Pendidikan Tinggi Energi dan Mineral;034-Lulusan Mahasiswa STEM Akamigas;03-Provinsi Jawa Tengah;;;005 - Anggaran Pendidikan;51-Pendidikan;8322965
10;020-Kementerian ESDM;020.12.05-Program Pengembangan Sumber Daya Manusia ESDM;1916-Pendidikan Tinggi Energi dan Mineral;034-Lulusan Mahasiswa STEM Akamigas;03-Provinsi Jawa Tengah;;;005 - Anggaran Pendidikan;51-Pendidikan;13711603
11;020-Kementerian ESDM;020.12.05-Program Pengembangan Sumber Daya Manusia ESDM;1916-Pendidikan Tinggi Energi dan Mineral;034-Lulusan Mahasiswa STEM Akamigas;03-Provinsi Jawa Tengah;;;005 - Anggaran Pendidikan;51-Pendidikan;13719996
